Jahr;Migrationsstatus;Geschlecht;Beruflicher Bildungsabschluss;Anzahl;Anzahl_Einheit;Bevölkerung   ;value_q
2024;Spätaussiedler;Insgesamt;Akademische Abschlüsse;423;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2024;Deutsche ohne eigene Migrationserfahrung;Insgesamt;Akademische Abschlüsse;769;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2024;Ohne Migrationshintergrund;Insgesamt;Promotion;905;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2022;Ausländer mit eigener Migrationserfahrung;männlich;Diplom;254;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Ausländer mit eigener Migrationserfahrung;weiblich;In schulischer oder beruflicher Ausbildung;235;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Mit Migrationshintergrund;männlich;Master;276;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Ohne Migrationshintergrund;männlich;Bachelor;884;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2022;Deutsche mit eigener Migrationserfahrung;weiblich;In schulischer oder beruflicher Ausbildung;78;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Insgesamt;weiblich;Nicht in schulischer oder beruflicher Ausbildung;7226;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2021;Insgesamt;Insgesamt;Nicht in schulischer oder beruflicher Ausbildung;13293;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Ausländer mit eigener Migrationserfahrung;Insgesamt;Akademische Abschlüsse;1460;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Deutsche ohne eigene Migrationserfahrung;Insgesamt;Nicht in schulischer oder beruflicher Ausbildung;593;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Insgesamt;Insgesamt;Promotion;1161;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2024;Deutsche mit eigener Migrationserfahrung;Insgesamt;Ohne beruflichen Bildungsabschluss;1773;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2024;Ausländer ohne eigene Migrationserfahrung;Insgesamt;Lehre / Berufsausbildung;367;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2023;Deutsche mit eigener Migrationserfahrung;männlich;Diplom;274;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Ohne Migrationshintergrund;weiblich;Nicht in schulischer oder beruflicher Ausbildung;3728;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2020;Spätaussiedler;Insgesamt;Diplom;255;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Ohne Migrationshintergrund;weiblich;Promotion;297;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Ausländer ohne eigene Migrationserfahrung;männlich;Diplom;23;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Ausländer ohne eigene Migrationserfahrung;weiblich;Promotion;/;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;
2024;Deutsche ohne eigene Migrationserfahrung;weiblich;Akademische Abschlüsse;398;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2022;Ohne Migrationshintergrund;Insgesamt;Promotion;871;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Insgesamt;männlich;Nicht in schulischer oder beruflicher Ausbildung;6053;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2021;Deutsche mit eigener Migrationserfahrung;weiblich;Diplom;323;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Ausländer mit eigener Migrationserfahrung;weiblich;Akademische Abschlüsse;758;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Deutsche ohne eigene Migrationserfahrung;weiblich;Akademische Abschlüsse;303;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Ausländer ohne eigene Migrationserfahrung;männlich;Akademische Abschlüsse;52;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Deutsche ohne eigene Migrationserfahrung;männlich;Ohne beruflichen Bildungsabschluss;956;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Spätaussiedler;männlich;Mit beruflichem Bildungsabschluss;929;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2022;Deutsche ohne eigene Migrationserfahrung;weiblich;Diplom;142;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Deutsche mit eigener Migrationserfahrung;Insgesamt;Ohne beruflichen Bildungsabschluss;1510;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Insgesamt;Insgesamt;Promotion;1097;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Ausländer ohne eigene Migrationserfahrung;Insgesamt;Master;12;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;()
2022;Ausländer ohne eigene Migrationserfahrung;Insgesamt;Akademische Abschlüsse;87;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Ausländer mit eigener Migrationserfahrung;männlich;Master;175;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Ohne Migrationshintergrund;männlich;Nicht in schulischer oder beruflicher Ausbildung;2427;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2023;Insgesamt;männlich;In schulischer oder beruflicher Ausbildung;2947;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Insgesamt;Insgesamt;Fachschulabschluss;6922;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Ausländer ohne eigene Migrationserfahrung;männlich;Nicht in schulischer oder beruflicher Ausbildung;164;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Insgesamt;männlich;Bachelor;1233;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Ohne Migrationshintergrund;männlich;Lehre / Berufsausbildung;11898;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Ausländer ohne eigene Migrationserfahrung;männlich;Insgesamt;539;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Deutsche ohne eigene Migrationserfahrung;Insgesamt;In schulischer oder beruflicher Ausbildung;1197;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Deutsche mit eigener Migrationserfahrung;männlich;Master;62;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Deutsche mit eigener Migrationserfahrung;weiblich;Fachschulabschluss;332;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2022;Deutsche mit eigener Migrationserfahrung;Insgesamt;Bachelor;203;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Spätaussiedler;weiblich;Akademische Abschlüsse;234;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2020;Ausländer mit eigener Migrationserfahrung;weiblich;Insgesamt;3771;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Mit Migrationshintergrund;männlich;Diplom;677;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Spätaussiedler;männlich;Fachschulabschluss;172;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2024;Deutsche ohne eigene Migrationserfahrung;männlich;Mit beruflichem Bildungsabschluss;1180;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2023;Insgesamt;Insgesamt;Akademische Abschlüsse;14394;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Ausländer mit eigener Migrationserfahrung;Insgesamt;Nicht in schulischer oder beruflicher Ausbildung;4433;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Spätaussiedler;männlich;Master;20;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Spätaussiedler;männlich;Mit beruflichem Bildungsabschluss;917;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Ohne Migrationshintergrund;Insgesamt;In schulischer oder beruflicher Ausbildung;3671;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Ausländer ohne eigene Migrationserfahrung;weiblich;Bachelor;19;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2023;Insgesamt;weiblich;Mit beruflichem Bildungsabschluss;25650;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Ausländer mit eigener Migrationserfahrung;weiblich;Fachschulabschluss;219;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Insgesamt;weiblich;Bachelor;1620;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2024;Deutsche ohne eigene Migrationserfahrung;männlich;Insgesamt;2214;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2021;Insgesamt;Insgesamt;Akademische Abschlüsse;13548;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Ohne Migrationshintergrund;weiblich;Akademische Abschlüsse;4876;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Ohne Migrationshintergrund;Insgesamt;Promotion;897;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Insgesamt;Insgesamt;Mit beruflichem Bildungsabschluss;52246;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Insgesamt;Insgesamt;Nicht in schulischer oder beruflicher Ausbildung;13278;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2020;Deutsche ohne eigene Migrationserfahrung;Insgesamt;Bachelor;158;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Ohne Migrationshintergrund;männlich;Master;599;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Spätaussiedler;Insgesamt;Nicht in schulischer oder beruflicher Ausbildung;815;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Ausländer ohne eigene Migrationserfahrung;weiblich;Nicht in schulischer oder beruflicher Ausbildung;128;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Ohne Migrationshintergrund;Insgesamt;Ohne beruflichen Bildungsabschluss;10756;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Insgesamt;männlich;In schulischer oder beruflicher Ausbildung;2908;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Deutsche mit eigener Migrationserfahrung;weiblich;Mit beruflichem Bildungsabschluss;1885;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2021;Ohne Migrationshintergrund;männlich;Akademische Abschlüsse;5697;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Spätaussiedler;weiblich;Ohne beruflichen Bildungsabschluss;468;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Ausländer ohne eigene Migrationserfahrung;Insgesamt;Ohne beruflichen Bildungsabschluss;422;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Spätaussiedler;männlich;Fachschulabschluss;145;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Insgesamt;männlich;Mit beruflichem Bildungsabschluss;25484;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Mit Migrationshintergrund;Insgesamt;Promotion;244;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Spätaussiedler;männlich;Lehre / Berufsausbildung;592;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Insgesamt;männlich;Akademische Abschlüsse;7756;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2023;Ohne Migrationshintergrund;Insgesamt;Ohne beruflichen Bildungsabschluss;10268;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Ausländer ohne eigene Migrationserfahrung;männlich;Akademische Abschlüsse;51;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2023;Ausländer mit eigener Migrationserfahrung;Insgesamt;Promotion;123;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Deutsche ohne eigene Migrationserfahrung;Insgesamt;Insgesamt;3918;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Ausländer mit eigener Migrationserfahrung;weiblich;Mit beruflichem Bildungsabschluss;1905;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Deutsche mit eigener Migrationserfahrung;weiblich;Insgesamt;2494;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Ausländer mit eigener Migrationserfahrung;männlich;Akademische Abschlüsse;928;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Mit Migrationshintergrund;weiblich;Mit beruflichem Bildungsabschluss;4945;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Ohne Migrationshintergrund;Insgesamt;Bachelor;1831;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2021;Insgesamt;weiblich;Ohne beruflichen Bildungsabschluss;10237;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Ausländer mit eigener Migrationserfahrung;männlich;Bachelor;270;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Insgesamt;weiblich;Lehre / Berufsausbildung;15117;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Mit Migrationshintergrund;Insgesamt;Master;868;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2022;Ohne Migrationshintergrund;Insgesamt;Mit beruflichem Bildungsabschluss;41336;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Ausländer ohne eigene Migrationserfahrung;Insgesamt;Akademische Abschlüsse;98;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Deutsche ohne eigene Migrationserfahrung;weiblich;Ohne beruflichen Bildungsabschluss;864;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Ohne Migrationshintergrund;männlich;Promotion;577;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2022;Ohne Migrationshintergrund;Insgesamt;Insgesamt;52086;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Deutsche ohne eigene Migrationserfahrung;männlich;Lehre / Berufsausbildung;553;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Deutsche mit eigener Migrationserfahrung;Insgesamt;In schulischer oder beruflicher Ausbildung;168;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Insgesamt;Insgesamt;In schulischer oder beruflicher Ausbildung;5751;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Deutsche mit eigener Migrationserfahrung;Insgesamt;Akademische Abschlüsse;916;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Insgesamt;Insgesamt;Fachschulabschluss;8153;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2024;Ausländer ohne eigene Migrationserfahrung;weiblich;In schulischer oder beruflicher Ausbildung;38;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2023;Mit Migrationshintergrund;weiblich;Fachschulabschluss;726;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Spätaussiedler;Insgesamt;Ohne beruflichen Bildungsabschluss;722;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2022;Mit Migrationshintergrund;weiblich;Insgesamt;9023;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Deutsche mit eigener Migrationserfahrung;männlich;Bachelor;105;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Mit Migrationshintergrund;weiblich;Insgesamt;8588;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Ohne Migrationshintergrund;weiblich;Bachelor;768;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Ausländer mit eigener Migrationserfahrung;männlich;Ohne beruflichen Bildungsabschluss;2222;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Insgesamt;männlich;Insgesamt;34718;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Ohne Migrationshintergrund;weiblich;Master;657;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2023;Deutsche mit eigener Migrationserfahrung;Insgesamt;In schulischer oder beruflicher Ausbildung;159;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Ausländer ohne eigene Migrationserfahrung;weiblich;Bachelor;13;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Insgesamt;weiblich;Insgesamt;36041;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Deutsche mit eigener Migrationserfahrung;weiblich;Bachelor;98;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Ohne Migrationshintergrund;Insgesamt;Fachschulabschluss;6149;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Insgesamt;männlich;Fachschulabschluss;3712;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Deutsche ohne eigene Migrationserfahrung;männlich;Fachschulabschluss;153;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2022;Deutsche ohne eigene Migrationserfahrung;männlich;Master;51;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Ausländer mit eigener Migrationserfahrung;Insgesamt;Lehre / Berufsausbildung;1595;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Insgesamt;weiblich;Insgesamt;35498;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Mit Migrationshintergrund;Insgesamt;In schulischer oder beruflicher Ausbildung;2336;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2022;Deutsche ohne eigene Migrationserfahrung;männlich;In schulischer oder beruflicher Ausbildung;646;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Insgesamt;Insgesamt;Mit beruflichem Bildungsabschluss;52062;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2024;Spätaussiedler;weiblich;Ohne beruflichen Bildungsabschluss;412;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2024;Deutsche ohne eigene Migrationserfahrung;weiblich;Ohne beruflichen Bildungsabschluss;983;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2020;Ausländer mit eigener Migrationserfahrung;weiblich;Diplom;364;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Insgesamt;Insgesamt;Bachelor;2562;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Ausländer mit eigener Migrationserfahrung;männlich;Insgesamt;4148;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Deutsche mit eigener Migrationserfahrung;Insgesamt;Akademische Abschlüsse;1139;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2021;Deutsche mit eigener Migrationserfahrung;männlich;Ohne beruflichen Bildungsabschluss;782;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Insgesamt;Insgesamt;Promotion;1141;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Deutsche mit eigener Migrationserfahrung;Insgesamt;Insgesamt;5197;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Ausländer ohne eigene Migrationserfahrung;weiblich;In schulischer oder beruflicher Ausbildung;80;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Spätaussiedler;Insgesamt;In schulischer oder beruflicher Ausbildung;44;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Ohne Migrationshintergrund;weiblich;Lehre / Berufsausbildung;12416;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2021;Ohne Migrationshintergrund;Insgesamt;Akademische Abschlüsse;10414;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Insgesamt;männlich;Promotion;688;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Spätaussiedler;weiblich;Diplom;141;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Spätaussiedler;weiblich;Akademische Abschlüsse;212;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Deutsche mit eigener Migrationserfahrung;Insgesamt;Promotion;75;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Ohne Migrationshintergrund;weiblich;Diplom;3064;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Ohne Migrationshintergrund;männlich;Ohne beruflichen Bildungsabschluss;4576;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Deutsche ohne eigene Migrationserfahrung;Insgesamt;Akademische Abschlüsse;665;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Insgesamt;männlich;Ohne beruflichen Bildungsabschluss;8996;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2024;Ausländer ohne eigene Migrationserfahrung;männlich;Ohne beruflichen Bildungsabschluss;226;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2022;Spätaussiedler;männlich;Ohne beruflichen Bildungsabschluss;379;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Ausländer mit eigener Migrationserfahrung;Insgesamt;Master;348;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Deutsche ohne eigene Migrationserfahrung;männlich;Mit beruflichem Bildungsabschluss;985;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Deutsche mit eigener Migrationserfahrung;weiblich;Master;75;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Ausländer mit eigener Migrationserfahrung;Insgesamt;Mit beruflichem Bildungsabschluss;3883;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Ausländer ohne eigene Migrationserfahrung;weiblich;Akademische Abschlüsse;43;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Insgesamt;weiblich;Diplom;4002;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2024;Ausländer ohne eigene Migrationserfahrung;weiblich;Diplom;17;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2020;Ohne Migrationshintergrund;Insgesamt;Bachelor;1423;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Deutsche mit eigener Migrationserfahrung;männlich;In schulischer oder beruflicher Ausbildung;87;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2021;Spätaussiedler;männlich;In schulischer oder beruflicher Ausbildung;22;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Deutsche mit eigener Migrationserfahrung;männlich;Promotion;47;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Ohne Migrationshintergrund;männlich;Ohne beruflichen Bildungsabschluss;4619;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Mit Migrationshintergrund;männlich;Lehre / Berufsausbildung;2706;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Insgesamt;weiblich;Master;888;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Mit Migrationshintergrund;Insgesamt;Lehre / Berufsausbildung;5107;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2023;Insgesamt;Insgesamt;Ohne beruflichen Bildungsabschluss;19582;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Spätaussiedler;Insgesamt;Diplom;257;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Ausländer mit eigener Migrationserfahrung;weiblich;Lehre / Berufsausbildung;600;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Ausländer mit eigener Migrationserfahrung;Insgesamt;Fachschulabschluss;430;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Deutsche mit eigener Migrationserfahrung;weiblich;Lehre / Berufsausbildung;927;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Mit Migrationshintergrund;Insgesamt;Bachelor;804;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Ohne Migrationshintergrund;weiblich;In schulischer oder beruflicher Ausbildung;1812;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Ohne Migrationshintergrund;Insgesamt;Master;1252;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Deutsche ohne eigene Migrationserfahrung;männlich;Fachschulabschluss;117;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Ohne Migrationshintergrund;weiblich;Insgesamt;26524;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Deutsche ohne eigene Migrationserfahrung;Insgesamt;Promotion;49;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Mit Migrationshintergrund;weiblich;In schulischer oder beruflicher Ausbildung;990;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Insgesamt;weiblich;Master;820;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Deutsche ohne eigene Migrationserfahrung;männlich;Nicht in schulischer oder beruflicher Ausbildung;337;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Insgesamt;weiblich;In schulischer oder beruflicher Ausbildung;2764;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Ausländer mit eigener Migrationserfahrung;männlich;Akademische Abschlüsse;794;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Ausländer mit eigener Migrationserfahrung;männlich;Promotion;60;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Deutsche ohne eigene Migrationserfahrung;weiblich;Nicht in schulischer oder beruflicher Ausbildung;265;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Ausländer ohne eigene Migrationserfahrung;Insgesamt;Nicht in schulischer oder beruflicher Ausbildung;310;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Ausländer mit eigener Migrationserfahrung;Insgesamt;Master;541;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2021;Spätaussiedler;weiblich;Insgesamt;1440;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Mit Migrationshintergrund;männlich;Master;321;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
